Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2021,2021,2021,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,32890,,,,32890,,1644571,,,0
S4,2021,2021,2021,4,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,502960,,,,502960,,994199,,,0
S4,2021,2021,2021,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,306252,,,,306252,,1362879,,,0
S4,2021,2021,2021,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,17417869,,,,,,49788567,,,6
S4,2021,2021,2021,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,626188,,,,626188,,10740052,,,0
S4,2021,2021,2021,4,0,4,Re-Import,36,Australia,AUS,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,17693,,,,,,50408,,,6
S4,2021,2021,2021,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,1814719,,,,1814719,,3928296,,,6
S4,2021,2021,2021,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,592563,,,,592563,,703764,,,0
S4,2021,2021,2021,4,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,1000,,,,1000,,18500,,,0
S4,2021,2021,2021,4,0,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,679,,,,679,,27751,,,0
S4,2021,2021,2021,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,2047620,,,,2047620,,10259688,,,0
S4,2021,2021,2021,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,2255083,,,,2255083,,33993675,,,0
S4,2021,2021,2021,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,4474303,,,,4474299,,5034109,,,0
S4,2021,2021,2021,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,791950,,,,791950,,2608097,,,0
S4,2021,2021,2021,4,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,2155869,,,,2155869,,10406107,,,0
S4,2021,2021,2021,4,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,488127,,,,488127,,484024,,,0
S4,2021,2021,2021,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,359643,,,,1010797,,2696483,,,0
S4,2021,2021,2021,4,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,17,,,,10550,,4768,,,0
S4,2021,2021,2021,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,406433,,,,406433,,10835083,,,6
S4,2021,2021,2021,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,2785722,,,,2760747,,5466432,,,0
S4,2021,2021,2021,4,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,5931,Propellent powders and other prepared explosives,8,Weight in kilograms,26053,,,,26053,,88554,,,0
