Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2019,2019,2019,4,1,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,19275,,,,19275,,15335,,,0
S4,2019,2019,2019,4,1,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,11010,,,,11010,,92477,,,6
S4,2019,2019,2019,4,1,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,171,,,,171,,854,,,0
S4,2019,2019,2019,4,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,1093644,,,,1093644,,586860,,,0
S4,2019,2019,2019,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",1,No Quantity,0,,,,,,814554,,,6
S4,2019,2019,2019,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,257966690,,,,257966690,,68238134,,,0
S4,2019,2019,2019,4,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",1,No Quantity,0,,,,,,868967,,,6
S4,2019,2019,2019,4,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,1569710,,,,1569710,,975774,,,0
S4,2019,2019,2019,4,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,135301,,,,135301,,1925025,,,6
S4,2019,2019,2019,4,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,61668,,,,61668,,1158179,,,6
S4,2019,2019,2019,4,1,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,378077,,,,378077,,174934,,,6
S4,2019,2019,2019,4,1,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,18,,,,18,,7,,,6
S4,2019,2019,2019,4,1,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,3133,,,,3133,,4188,,,0
S4,2019,2019,2019,4,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,10194772,,,,10194772,,4001332,,,0
