Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2020,2020,2020,4,1,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,9984,,,,9984,,38992,,,0
S4,2020,2020,2020,4,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,63664,,,,63664,,73270,,,0
S4,2020,2020,2020,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,17987,,,,17987,,100644,,,0
S4,2020,2020,2020,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,246720510,,,,246720510,,54913959,,,0
S4,2020,2020,2020,4,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,29217,,,,29217,,863418,,,6
S4,2020,2020,2020,4,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,145356,,,,145356,,176661,,,6
S4,2020,2020,2020,4,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,138126,,,,138126,,1920466,,,0
S4,2020,2020,2020,4,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,47288,,,,47288,,909229,,,6
S4,2020,2020,2020,4,1,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,31975,,,,31975,,14369,,,6
S4,2020,2020,2020,4,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,14724567,,,,15096717,,4942776,,,0
S4,2020,2020,2020,4,1,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,6883,,,,6883,,13228,,,0
S4,2020,2020,2020,4,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,219739577,,,,219739577,,78921537,,,0
S4,2020,2020,2020,4,1,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,5207644,,,,5207644,,3294947,,,0
S4,2020,2020,2020,4,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,5047,,,,5047,,15734,,,0
S4,2020,2020,2020,4,1,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,198912,,,,198912,,28072511,,,6
S4,2020,2020,2020,4,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,41703777,,,,41703777,,18649161,,,0
S4,2020,2020,2020,4,1,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,6411660,,,,6411660,,3531269,,,0
S4,2020,2020,2020,4,1,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,230,,,,230,,430,,,0
S4,2020,2020,2020,4,1,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",1,No Quantity,0,,,,,,9527286,,,0
S4,2020,2020,2020,4,1,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",1,No Quantity,0,,,,,,104756,,,0
S4,2020,2020,2020,4,1,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,899,,,,899,,501,,,0
S4,2020,2020,2020,4,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,715,,,,715,,7366,,,6
S4,2020,2020,2020,4,1,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,601063800,,,,601063800,,233401163,,,0
S4,2020,2020,2020,4,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,21890915,,,,21890915,,8031988,,,0
S4,2020,2020,2020,4,1,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,41291,,,,41291,,71558,,,0
S4,2020,2020,2020,4,1,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,1567417,,,,1567417,,254299,,,6
S4,2020,2020,2020,4,1,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,3051,,,,3051,,5749,,,0
S4,2020,2020,2020,4,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,211746049,,,,211746049,,73811700,,,0
S4,2020,2020,2020,4,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,42222414,,,,42222414,,11823900,,,0
S4,2020,2020,2020,4,1,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,69700,,,,69700,,235411,,,0
S4,2020,2020,2020,4,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,19884235,,,,19884235,,5094671,,,6
S4,2020,2020,2020,4,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,632273376,,,,632273376,,98175651,,,0
S4,2020,2020,2020,4,1,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,201985,,,,201985,,73225,,,0
S4,2020,2020,2020,4,1,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,321466,,,,321466,,144460,,,6
S4,2020,2020,2020,4,1,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,96,,,,96,,14815,,,0
S4,2020,2020,2020,4,1,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,350370440,,,,350370440,,180295271,,,0
S4,2020,2020,2020,4,1,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,48850600,,,,48850600,,19133318,,,0
S4,2020,2020,2020,4,1,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",1,No Quantity,0,,,,,,54320144,,,0
S4,2020,2020,2020,4,1,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,201,,,,201,,2293,,,0
S4,2020,2020,2020,4,1,1,Import,156,China,CHN,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",1,No Quantity,0,,,,,,1544307,,,0
S4,2020,2020,2020,4,1,2,Export,156,China,CHN,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,1513874,,,,1513874,,1321909,,,0
S4,2020,2020,2020,4,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,241136,,,,241136,,659192,,,6
S4,2020,2020,2020,4,1,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,196,,,,196,,416,,,0
S4,2020,2020,2020,4,1,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,2,,,,2,,51,,,0
S4,2020,2020,2020,4,1,1,Import,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,479060,,,,479060,,351060,,,0
S4,2020,2020,2020,4,1,1,Import,188,Costa Rica,CRI,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,144426,,,,144426,,320106,,,0
S4,2020,2020,2020,4,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,11128417,,,,11128417,,5670799,,,0
S4,2020,2020,2020,4,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,52861990,,,,52861990,,20534750,,,0
S4,2020,2020,2020,4,1,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,3442,"Gaseous hydrocarbons, liquefied, n.e.s.",8,Weight in kilograms,818,,,,818,,53057,,,0
