Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2021,2021,2021,4,1,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,1303850,,,,1303850,,3658116,,,0
S4,2021,2021,2021,4,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,993555,,,,993555,,3184930,,,0
S4,2021,2021,2021,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",1,No Quantity,0,,,,,,26121470,,,0
S4,2021,2021,2021,4,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,21339483,,,,,,93943382,,,6
S4,2021,2021,2021,4,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,20741728,,,,20741728,,160779481,,,6
S4,2021,2021,2021,4,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,180838,,,,181336,,796034,,,6
S4,2021,2021,2021,4,1,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,234522,,,,234522,,801651,,,6
S4,2021,2021,2021,4,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,31616564,,,,31616564,,83229007,,,6
S4,2021,2021,2021,4,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,1158,,,,1158,,19192,,,0
S4,2021,2021,2021,4,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,1873555,,,,1524304,,3931675,,,0
S4,2021,2021,2021,4,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,1731206,,,,1731206,,8135987,,,0
S4,2021,2021,2021,4,1,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,376504,,,,296358,,733268,,,0
S4,2021,2021,2021,4,1,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,13196469,,,,13196469,,102134462,,,6
S4,2021,2021,2021,4,1,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,108696,,,,108696,,284706,,,6
S4,2021,2021,2021,4,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,44434,,,,44434,,479289,,,6
S4,2021,2021,2021,4,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,3154552,,,,3154552,,20941902,,,6
S4,2021,2021,2021,4,1,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,2616756,,,,2616756,,1732689,,,6
S4,2021,2021,2021,4,1,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,6994,"Springs & leaves for springs, of iron/steel",8,Weight in kilograms,84980,,,,84980,,53191,,,0
