CODE,WORLD_AMT,RUS_AMT,rus_total,worldtotal
F01B,6847,89,112755,22657984
F01C,12350,187,112755,22657984
F01D,120807,388,112755,22657984
F01K,26271,178,112755,22657984
F01L,28818,67,112755,22657984
F01M,22550,53,112755,22657984
F01N,85383,224,112755,22657984
F01P,26466,37,112755,22657984
F02B,79123,432,112755,22657984
F02C,73812,519,112755,22657984
F02D,101932,113,112755,22657984
F02F,20927,53,112755,22657984
F02G,8597,69,112755,22657984
F02K,23531,458,112755,22657984
F02M,98701,244,112755,22657984
F02N,21832,53,112755,22657984
F02P,14853,25,112755,22657984
F03B,27269,190,112755,22657984
F03C,3484,10,112755,22657984
F03D,68427,420,112755,22657984
F03G,19374,120,112755,22657984
F04B,82172,421,112755,22657984
F04C,50137,155,112755,22657984
F04D,106177,587,112755,22657984
F04F,7828,118,112755,22657984
H01B,111271,257,112755,22657984
H02B,34681,38,112755,22657984
H03B,10590,105,112755,22657984
H03C,1802,30,112755,22657984
H03D,4769,35,112755,22657984
H03F,46684,191,112755,22657984
H03G,17979,17,112755,22657984
H03H,41891,175,112755,22657984
H03J,2678,11,112755,22657984
H03K,103354,419,112755,22657984
H03L,21547,58,112755,22657984
H03M,69898,250,112755,22657984
H04H,24471,64,112755,22657984
H05B,201652,356,112755,22657984
H05C,464,6,112755,22657984
H05F,3873,18,112755,22657984
H05G,8518,37,112755,22657984
H05H,24256,250,112755,22657984
H05K,307320,282,112755,22657984
F15B,55027,193,112755,22657984
F15C,573,3,112755,22657984
F15D,5156,32,112755,22657984
F16N,13293,33,112755,22657984
F17B,222,1,112755,22657984
F17C,33628,181,112755,22657984
F17D,13483,324,112755,22657984
F21K,46836,113,112755,22657984
F21S,115825,184,112755,22657984
F22B,20664,242,112755,22657984
F22D,3628,37,112755,22657984
F22G,2226,18,112755,22657984
F23B,4092,58,112755,22657984
F23C,13557,120,112755,22657984
F23L,10422,36,112755,22657984
F23M,5093,13,112755,22657984
F23Q,4680,25,112755,22657984
F24B,5306,64,112755,22657984
F24D,34486,218,112755,22657984
F24S,35370,97,112755,22657984
F24T,3814,17,112755,22657984
F24V,1860,42,112755,22657984
F25B,91553,172,112755,22657984
F25D,68026,78,112755,22657984
F25J,13969,212,112755,22657984
F26B,49833,350,112755,22657984
F41A,19154,410,112755,22657984
F41B,7903,111,112755,22657984
F41C,7231,194,112755,22657984
F41F,2656,125,112755,22657984
F41H,18929,397,112755,22657984
F41G,12491,327,112755,22657984
F41J,4169,59,112755,22657984
F41H,18929,397,112755,22657984
F42B,22282,804,112755,22657984
F42C,4450,118,112755,22657984
F42D,6849,178,112755,22657984
