node,nodesize,nodecolor
F01B,2.61,red
H03D,1.47,red
F01C,3.04,red
H03B,1.99,red
H03J,0.83,red
H03C,3.35,red
F01D,0.5,black
H05C,2.6,red
F01K,1.36,red
F01L,0.5,black
F41J,2.84,red
F01M,0.5,black
F41F,9.46,red
F42C,5.33,red
F01N,0.5,black
F17B,0.91,red
F01P,0.5,black
F02B,1.1,red
F02C,1.41,red
F02D,0.5,black
F02F,0.5,black
F02G,1.61,red
F02K,3.91,red
F02M,0.5,black
F02N,0.5,black
F02P,0.5,black
F03B,1.4,red
F03C,0.5,black
F21K,0.5,black
F41H,4.21,red
F41H,4.21,red
F04D,1.11,red
F03D,1.23,red
F03G,1.24,red
F04B,1.03,red
F04C,0.5,black
F04F,3.03,red
H01B,0.5,black
H02B,0.5,black
F15C,1.05,red
F23L,0.5,black
F22B,2.35,red
F23Q,1.07,red
F42D,5.22,red
H03F,0.5,black
F25J,3.05,red
F22D,2.05,red
H03G,0.5,black
F23B,2.85,red
F22G,1.62,red
F24B,2.42,red
H03H,0.84,red
H03L,0.5,black
H03K,0.5,black
H03M,0.5,black
F24T,0.9,red
H04H,0.5,black
F24V,4.54,red
H05B,0.5,black
F25B,0.5,black
F25D,0.5,black
F15B,0.5,black
F23C,1.78,red
F26B,1.41,red
F16N,0.5,black
F01K,1.36,red
F24D,1.27,red
F17C,1.08,red
F15D,1.25,red
F17D,4.83,red
H05F,0.93,red
H05G,0.87,red
H05H,2.07,red
H05K,0.5,black
F21S,0.5,black
F41A,4.3,red
F42B,7.25,red
F41G,5.26,red
F41C,5.39,red
F23M,0.5,black
F41B,2.82,red
F24S,0.5,black
