node,nodesize,nodecolor
F01B,2.61,red
F02G,1.61,red
F03C,0.5,black
F01C,3.04,red
F04C,0.5,black
F01D,0.5,black
F02F,0.5,black
F02K,3.91,red
F04F,3.03,red
F01K,1.36,red
F22B,2.35,red
F02C,1.41,red
F03G,1.24,red
F01L,0.5,black
F01M,0.5,black
F16N,0.5,black
F01N,0.5,black
F02D,0.5,black
F01P,0.5,black
F02B,1.1,red
F02M,0.5,black
F02P,0.5,black
F02N,0.5,black
F42B,7.25,red
H05H,2.07,red
F03B,1.4,red
F03D,1.23,red
F24S,0.5,black
F04B,1.03,red
F04D,1.11,red
F15B,0.5,black
H03K,0.5,black
F15D,1.25,red
F25J,3.05,red
F24D,1.27,red
F23M,0.5,black
F25B,0.5,black
F17D,4.83,red
H05F,0.93,red
F26B,1.41,red
F17B,0.91,red
H01B,0.5,black
H05K,0.5,black
H02B,0.5,black
H03B,1.99,red
H03L,0.5,black
H03J,0.83,red
H03D,1.47,red
H03C,3.35,red
H03F,0.5,black
H03G,0.5,black
H03H,0.84,red
H04H,0.5,black
H03M,0.5,black
H05B,0.5,black
F21S,0.5,black
H05C,2.6,red
F41H,4.21,red
H05G,0.87,red
F15C,1.05,red
F17C,1.08,red
F21K,0.5,black
F22D,2.05,red
F22G,1.62,red
F23B,2.85,red
F24B,2.42,red
F23L,0.5,black
F24V,4.54,red
F23C,1.78,red
F23Q,1.07,red
F24T,0.9,red
F25D,0.5,black
F41A,4.3,red
F41C,5.39,red
F41B,2.82,red
F41F,9.46,red
F41G,5.26,red
F41J,2.84,red
F41H,0.5,black
F42C,5.33,red
F42D,5.22,red
